id,text,target,flesch_reading,dale_chall,coleman_liau,mcalpine_eflaw,wrd_cnt,sen_cnt,syl_cnt,polysyl_cnt,avg_wrd_per_sen,avg_syl_per_wrd,ttr,rttr,cttr,mtld75
0,"
                 Some people argue that a balanced diet is the most important factor for a healthy life. I believe it's mostly true to say that, nevertheless I don't think the factors can be organised to least important to most important. First of all, it is very important to eat healthy, because your body needs different kind of nutrients that cannot be find in junk food. ""You are what you eat"", goes the saying. Secondly, it mainly depends on the quality of each factor. What do you call a balanced diet? Does it need to have vegetables and meat, is it opposed to fat and fast foods or does it need a bit of these? Then, factors tend to be correlated with one another. If you have a healthy diet, it's probably because you care about your well-being, than you probably work out and sleep correctly. If these factors are correlated it's hard to say whether one or the other is more important. To conclude, a balanced diet is something subjective, some people may think eating junk food once a week may be fine while others find it way too much. How to measure what impacts your health the most, if all the factors are correlated, it's a tough question and very subjective in my opinion. ",0.6666666666666666,70.33,6.66,7.54,25.4,214.0,12.0,296.0,22.0,17.833333333333332,1.3831775700934579,0.5296803652968036,7.838553589434037,5.54269439778296,69.82608695652175
1,"
                 My hobbies are hockey and golf. I like to play with my friends and i enjoy to have a great time after school or something like this. I train 2 times per week and i play a match of hockey 1 time per week-end, it's always the saturday and when i have more time , i play golf . ",0.15,86.03,6.52,4.01,27.3,57.0,3.0,67.0,1.0,19.0,1.1754385964912282,0.6428571428571429,4.810702354423639,3.401680257083045,34.70010449320794
2,"
                 Yesterday, I attended at the launch of the new perfume of the Delavigne corporation, the famous Californian's firm. Everybody received a sample of it. More than hundred people attended the event and the flagrances that diffused hundred bottles of the perfume was wonderful. The Parisian's perfumers can have a big problem with this American' competition. France is no more the best in this matter. This new perfume is called ""blue moon"", and it's certainly will become a great succes, not only because it's splendid flagrance but shurely with the skilled marketing of the Americans. ",0.3,55.54,8.95,11.54,21.8,94.0,6.0,146.0,13.0,15.666666666666666,1.553191489361702,0.673469387755102,6.667006794044591,4.714285714285714,48.092592592592595
3,"
                 I have a mother and a father and they are stil married. I have too a sister and a brother and I am am the jongest. my sister, pauline, don't live whit us anymore because she lives whith her boyfriend now. ",0.11666666666666665,91.41,7.01,4.46,20.7,41.0,3.0,49.0,0.0,13.666666666666666,1.1951219512195121,0.7380952380952381,4.783403848824849,3.382377298657882,31.5
4,"
                 I think I will travel the world and visit the most beautiful areas of the world. But I find that with money it's too easy. If I want more adventure I have to meet the inhabitants of the country and walk in the nature. So, I will use the money for the plane ticket's and no for luxuous hostels. I have the project to visit south America because I have many friends in these country. They will be happy to offer me a home and to show me their country. I dream to walk in the historical Machu Pichu. ",0.19999999999999998,82.54,6.25,4.86,20.7,99.0,7.0,128.0,6.0,14.142857142857142,1.292929292929293,0.6039603960396039,6.069726860280934,4.29194502285478,33.93817204301075
5,"
                 Dear {name},  I'm happy to receive your invitation. Yes of course it's a pleasure to help you for organize your birthday. First time we could to drink a glass and listening a music. After that we could to go listen a movie. and second time, we could to go eat a restaurant  and finish in the dancing.   What do you think about that see you later my friend's ",0.25,85.39,5.59,4.91,16.7,68.0,6.0,87.0,3.0,11.333333333333334,1.2794117647058822,0.704225352112676,5.933908290969266,4.195906791483446,53.655634357762025
6,"
                 Both are important in some points of view. An enjoyable job is essential to have a good mood and to motivate you to work everyday at your workstation. Because a monotonous and repetitive job which you dislike may influence your mind and you may suffer from depression. As the sentence says : ""Money doesn't make happiness, but it contributes"". It is also necessary to earn a decent salary in order to not live in insecurity. It allows you to pay the rent or the loads, to buy primary needs and other stuffs. Of course, it depends on your situation. But most of the time, I would say that the money is the first choice due to the nowaday consumerism society. ",0.5,73.27,7.83,7.59,22.0,119.0,8.0,172.0,17.0,14.875,1.4453781512605042,0.7,7.6681158050723255,5.422176684690384,70.65217391304347
7,"
                 I don't think study abroad should be a compulsory part of education. At first, mainly beacause most of students can't afford to live and study abroad even if they get a little help for it. Even if a student can afford it, he shouldn't be obliged to study abroad, to leave his family behind and to let go some opportunities. So the choice of whether or not study abroad should remain. At last, a lot of students have obligations in their countries and leave them could be damageable. For instance, some of the students are also a parent or they have to manage their studies with a job. In this case, going abroad can bring some more unwelcomed difficulties ",0.3,79.6,7.0,7.89,24.0,119.0,7.0,159.0,8.0,17.0,1.3361344537815125,0.6229508196721312,6.880716699231408,4.865401437450047,58.347826086956516
8,"
                 I imagine that I will be professor at university. I would have done my doctorat. My son will be at university. My daughter will be 15 years.In 10 years I speak perfect English and I understand it perfect. My write will be fluent. I hope... but there is still a lot of work!!!  The work in my house will be finished. My annexe will be build and my bathroom will be great. I also hope that I will have traveled and discovered the news continents and the news cultures. And I hope that I will always be happy like now or better and my family too. ",0.3,87.11,6.35,4.27,14.2,106.0,11.0,139.0,8.0,9.636363636363637,1.3113207547169812,0.5238095238095238,5.367450401216932,3.7953605763829485,20.234375
9,"
                 The most important factor of a healthy life When confronted to the question of how to lead a healthier life, it is imperative to talk about the diet we choose to impose on our bodies, and the effects we seek to obtain through it. A healthy life is acquired through a series of disciplined habits, eating healthy is only one of those. it would be interesting to ask ourselves what aspect of our health we wish to improve. Whether it is our weight, our cholesterol, our body's acceptance of certain vitamins, the way we eat plays an important role. However, for this purpose, eating a balanced diet must usually be combined with a healthy exercise routine. While exercising, an important amount of toxins is eliminated and our metabolism is accelerated. Thus, it is safe to conclude, that eating a balanced diet is essential to leading a healthier life, but it will achieve better results if accompanied by a daily exercise routine. ",0.6333333333333333,56.59,8.7,10.04,33.0,161.0,7.0,243.0,21.0,23.0,1.5093167701863355,0.5925925925925926,7.542472332656507,5.333333333333333,49.3448275862069
