Elementary,Intermediate ,Advanced
"On the market square in Rjukan stands a statue
of the person who created the town, a Norwegian
engineer and businessman called Sam Eyde.
The great man looks north across the square at
the side of a mountain in front of him.","On the market square in Rjukan stands a statue
of the towns founder, a respected Norwegian
engineer and businessman called Sam Eyde.
The great man looks north across the square at a
mountainside in front of him.","On the market square in Rjukan stands a
statue of the towns founder, a noted Norwegian
engineer and industrialist called Sam Eyde. The
great man stares northwards across the square
at an almost sheer mountainside in front of him."
"Behind him, to the south, is the 1,800-metre
mountain known as Gaustatoppen. Between the
mountains, along the narrow Vestfjord valley, is
the small town that Eyde built at the beginning of
the last century for his factory workers.","Behind him, to the south, rises the 1,800-metre
peak known as Gaustatoppen. Between the
mountains, along the narrow Vestfjord valley,
lies the small, but once powerful, town that Eyde
built at the beginning of the last century, so the
workers in his factories could live there.","Behind him, to the south, rises the equally sheer
1,800-metre peak known as Gaustatoppen.
Between the mountains, along the narrow
Vestfjord valley, lies the small, but once mighty,
town that Eyde built in the early years of the last
century, to house the workers for his factories."
"Eyde used the power of the 100-metre
Rjukanfossen waterfall to make hydroelectricity in
what was, at that time, the worlds biggest
power plant.","Eyde used the power of the 100-metre
Rjukanfossen waterfall to make hydroelectricity in
what was, at the time, the worlds biggest
power plant.","Eyde harnessed the power of the 100-
metre Rjukanfossen waterfall to generate
hydroelectricity in what was, at the time, the
worlds biggest power plant."
"But one thing he couldnt do was change the sun.
Deep in its eastwest valley, with high mountains
all around, Rjukan and the 3,400 people who
live there are in shadow for half the year. In the
daytime, from late September to mid-March,
the town, three hours north-west of Oslo, is not
completely dark, but its certainly not bright.","But one thing he couldnt do was change the sun.
Deep in its eastwest valley, surrounded by high
mountains, Rjukan and its 3,400 inhabitants are
in shadow for half the year. During the day, from
late September to mid-March, the town, three
hours north-west of Oslo, is not completely dark,
but its certainly not bright, either.","But one thing he couldnt do was change the
elevation of the sun. Deep in its eastwest valley,
surrounded by high mountains, Rjukan and its
3,400 inhabitants are in shadow for half the year.
During the day, from late September to
mid-March, the town, three hours north-west of
Oslo, is not completely dark, but its certainly not
bright, either."
"Now, high on the mountain opposite Eydes
statue, 450 metres above the town, three large,
solar-powered, computer-controlled mirrors follow
the movement of the sun across the sky. They
reflect the sunshine down on to the square and fill
it in bright sunlight.","Now, high on the mountain opposite Eydes
statue, 450 metres above the town, three large,
solar-powered, computer-controlled mirrors
slowly track the movement of the sun across the
sky. They reflect the sunshine down on to the
square and fill it with bright sunlight.","Recently, however, Eydes statue has gazed
out upon a sight that even he might have found
startling. High on the mountain opposite, 450
metres above the town, three large,
solar-powered, computer-controlled mirrors
steadily track the movement of the sun across the
sky, reflecting its rays down on to the square and
bathing it in bright sunlight."
"Its the sun! says Ingrid Sparbo  she lifts her face
to the light and closes her eyes. Sparbo has lived all
her life in Rjukan and says, This is so warming. Not
just physically, but mentally. Its mentally warming.","Its the sun! grins Ingrid Sparbo, lifting her
face to the light and closing her eyes. A retired
secretary, Sparbo has lived all her life in Rjukan
and says people do sort of get used to the
shade. You end up not thinking about it, really.
But this ... this is so warming. Not just physically,
but mentally. Its mentally warming.","Its the sun! grins Ingrid Sparbo, disbelievingly,
lifting her face to the light and closing her eyes.
A retired secretary, Sparbo has lived all her life
in Rjukan and says people do sort of get used
to the shade. You end up not thinking about it,
really. But this ... this is so warming. Not just
physically, but mentally. Its mentally warming."
"Two young mothers bring their children into the
square and stand in the sun. On a freezing day,
an elderly couple sit on one of the new benches
and they smile at the warmth on their faces.
Children smile. Lots of people take photographs.
A shop assistant, Silje Johansen, says its
awesome. Just awesome.","Two young mothers bring their children into the
square and stand in the sun. On a freezing day,
an elderly couple sit on one of the new benches
smiling at the warmth on their faces. Children
smile. Lots of people take photographs. A shop
assistant, Silje Johansen, says its awesome.
Just awesome.","Two young mothers wheel their children into the
square and stand in the sun. On a freezing day,
an elderly couple sit on one of the new benches,
smiling at the warmth on their faces. Children
beam. Lots of people take photographs. A shop
assistant, Silje Johansen, says its awesome.
Just awesome."
"Electrical engineer Eivind Toreid says Its a funny
thing. Not real sunlight, but very similar. Like
a spotlight.","Electrical engineer Eivind Toreid is more cautious.
Its a funny thing, he says. Not real sunlight, but
very similar. Like a spotlight.","Pushing his childs buggy, electrical engineer Eivind
Toreid is more cautious. Its a funny thing, he says.
Not real sunlight, but very like it. Like a spotlight."
"Heidi Fieldheim says she heard all about it on the
radio. This will bring much happiness, she says.","Heidi Fieldheim says she heard all about it on
the radio. But its far more than I expected, she
says. This will bring much happiness.","Heidi Fieldheim says she heard all about it on
the radio. But its far more than I expected, she
says. This will bring much happiness."
"Across the road, in the Nye Tider caf, sits
the man who created this happiness. Martin
Andersen is a 40-year-old artist who moved to
Rjukan in the summer of 2001.","Across the road, in the Nye Tider caf, sits the
man who created this unexpected happiness.
Martin Andersen is a 40-year-old artist who
moved to Rjukan in the summer of 2001.","Across the road, in the Nye Tider caf, sits the
man responsible for this unexpected access to
happiness. Martin Andersen is a 40-year-old artist
who moved to Rjukan in the summer of 2001."
