Elementary,Intermediate ,Advanced
"Maria is waiting on a black plastic chair. When she is called, she picks up a brown paper bag full of food: pasta, eggs and corn akes. She can also choose between butternut squash or carrots as this weeks vegetables.",Maria is sitting on a black plastic chair in a community centre on a cold Tuesday afternoon waiting for someone to call her number. She is number 34.,Maria is sitting on a black plastic chair in a community centre on a cold Tuesday afternoon waiting for her number to be called. She is number 34.
"Maria is the 34th client today at East Hampton Food Pantry, very close to some of the most expensive houses in the world.","When its her turn, Maria goes to pick up a brown paper bag  lled with essentials including pasta, eggs and corn akes, and can choose between butternut squash or carrots as this weeks vegetables.","When its her turn, Maria is called forward to pick up a brown paper bag  lled with essentials including pasta, eggs and corn akes, and is invited to choose between butternut squash or carrots as this weeks vegetables."
"Every day in the winter, more than 400 families collect their weekly food parcel from the food pantry. The food helps them get through the cold, dark Long Island winter.","Maria is the 34th client so far today at East Hampton Food Pantry, just streets away from some of the most expensive houses in the world.","Maria is the 34th client so far today at East Hampton Food Pantry, a community initiative set up just streets away from some of the most expensive and exclusive properties in the world."
"The Hamptons are historic, oceanfront towns and villages 100 miles from Manhattan, New York. In the summer, it is full of billionaires. But, in early September, the rich and famous shut up their mansions and go back to Manhattan or Beverly Hills. The people who live here all year are mostly immigrants.","Each day at this time of year, more than 400 families collect their weekly food parcel from the food pantry. This food helps them survive the cold, dark Long Island winter.","By the end of the day, the food pantrys organizers expect more than 400 families to have followed Maria through the doors to collect their weekly food parcel to help them get through the cold, dark Long Island winter."
"The people who come here are rich and famous but we who live here are not, says Maria. She works 14-hour days in the summer cleaning mansions. She often has no work at all inthe winter.","The Hamptons are historic oceanfront towns and villages 100 miles from Manhattan. In the summertime, they are a billionaires playground. But, in early September, when the rich and famous shut up their mansions and go back to Manhattan or Beverly Hills, the glamour ends and the gritty reality of life begins for the mostly immigrant community who live here all year.","In the summertime, the Hamptons, a collection of historic oceanfront towns and villages 100 miles from Manhattan, is a billionaires playground. But, come Labor Day in early September, when the rich and famous shut up their mansions and head back to Manhattan or Beverly Hills, the glitz gives way to the gritty reality of life for the mostly immigrant community who live here all year."
"Maria laughs when asked if she has enough money. There is no work in the winter, only in the summer, says Maria. She, like many of the workers in the Hamptons, is from Latin America. Here, lots of people live in a single room because they cant pay the rent.","The people who come here are rich and famous but we who live here are not, says Maria, who works 14-hour days in the summer cleaning mansions but often has no work at all in the winter.","The people who come here are rich and famous but we who live here are not, says Maria, who works 14-hour days in the summer cleaning mansions but goes months without any work at all in the winter."
"Lots of her friends cant pay for heating or medicine and many would be hungry if they did not get food from the East Hampton Food Pantry, she says.","Maria laughs when asked if she has enough money. There is no work in the winter, onlyin the summertime, says Maria, who is from Latin America, like many of the workers in the Hamptons. Here, lots of people live in a single room because they cant pay the rent.","Maria laughs when asked if she has enough money. There is no work in the winter, only in the summertime, says Maria, who, like many of the workers in the Hamptons, is from Latin America. Here, lots of people live in a single room because they cant pay the rent."
"Vicki Littman, chairperson of the East Hampton Food Pantry, which gave more than 31,000 food parcels in 2015, says there are more and more people coming to the food pantry.","She says some families with up to  ve children have to live in basements and still pay more than $1,000 a month in rent. People come here looking for work but, in the winter, there is nothing.","She says some families with up to  ve children are crammed into basements and still pay more than $1,000 a month in rent. People come here looking for work but, in the winter, thereis nothing."
"Littman says that, when she talks to the people who come for the summer about the food pantries, they are always shocked. They know only the glamorous side of the Hamptons: the big parties and the beaches and mansions.","Lots of her friends cant pay for heating or medication and many would go hungry if the East Hampton Food Pantry didnt exist, she says. It is just one of several food pantries in the town.","Lots of her friends cant pay for heating or medication and many would go hungry if it were not for the East Hampton Food Pantry, she says, which is just one of several food pantries in the town."
"But, what the rich people dont know is that the gardeners, the nannies, the waitresses, they all need their summer earnings to get them through the winter.","Vicki Littman is chairperson of the East Hampton Food Pantry, which provided more than 31,000 food parcels in 2015. She says there are more and more people coming to the food pantry.","Vicki Littman, chairperson of the East Hampton Food Pantry, which provided more than 31,000 food parcels in 2015, says the number of people seeking out the food pantry is ever increasing."
"Housing is the biggest cost in the Hamptons. Larry Cantwell, who has lived in East Hampton all his life, says homes often cost more than $25 million. It is very dif cult to  nd your  rst home here, Cantwell says. If you can  nd a hometo buy anywhere in East Hampton for less than $500,000, youre very lucky.","Littman says that, when she talks to the people who come for the summer about the food pantries, they are always shocked because they know only the glamorous side of the Hamptons where there are big parties and the beaches and mansions.","Once Labor Day comes and the season is over and peoples hours start to be cut back, our numbers go up to about 400 families a week, she says. When they come to us on Tuesday, they get two to three days worth of food. Without us, they would struggle that much more."""
"Cantwell says more than half the towns homes are empty for most of the year. The population goes from 80,000 in August to 10,000 in the winter months.","But, what people dont realize is that there is that service industry. Its the landscapers, the nannies, the waitresses  they all rely on what they earn in the summer to survive the winter.","Littman says it can be hard for outsiders to realize that there are people struggling to get by in a place known the world over for its excess. When I discuss with the summer community that comes out here about the food pantries, theyre always shocked because there is that glamorous side of the Hamptons where there are galas and the beaches and the mansions that are here."
"Theres a lot of wealth here but almost all of that wealth is in second homes only used in the summer, says Cantwell, the son of a  sherman father and a house-cleaner mother. But, the rest of us live here all year."," Littman says the town has lost too many people who do important jobs  such as teachers, police of cers and even doctors and dentists  because they cant afford to live in the community."," But, what people dont realize is that there is that service industry. Its the landscapers, the nannies, the waitresses  they are all relying on that summer income to get them through the winter but people dont see that when theyre coming out on holiday."
 There are famous and very wealthy people but also hard-working and poor people. Youve got to remember that this used to be a farming and  shing community  a real working-class community.," Housing is the biggest cost in the Hamptons. Larry Cantwell, who has lived in East Hampton all his life, says homes regularly change hands for more than $25m. Finding your  rst home is a challenge in an area like this, Cantwell says. If you can  nd a home to buy anywhere in East Hampton for $500,000, youre very lucky.","There are seniors who have to sometimes pick between whether they are going to pay for their medications or pay their bills or buy food, and that shouldnt be the case."
"Eddie Vallone, 22, says, People only see the Hamptons as a rich town but there are a lot of problems here, especially drugs. Its hard to understand. You think, OK, the summer is over. What am I going to do for the winter? Vallone says, I want to work but theres no work.","Cantwell says more than half the towns homes are empty for most of the year  this causes the population to go from 80,000 in August to 10,000 in the winter months.","Littman says the town has lost too many people working key jobs  such as teachers, police of cers and even doctors and dentists  because they cant afford to live in the community and the food pantry board is determined to do more to ensure people have a better shot at staying put."
"Vallone works cleaning swimming pools. He says that, if he is careful, he can make his summer earnings last until November. But, work doesnt start again until May or the beginning of June."," Theres certainly a lot of wealth here but almost all of that wealth is in second homes only used in the summer, says Cantwell, the son of a  sherman father and a house-cleaner mother. But, the rest of us live here year round.","Housing is, by far, the biggest cost in the Hamptons. At $147m, the nations most expensive property is hedge fund manager Barry Rosensteins 18-acre beachfront estate at 67 Further Lane, a stones throw from Maidstone Golf Club, which is considered the most elite, prestigious and dif cult to get into of all the Hamptons clubs."
,"There are famous and very wealthy peoplebut also hard-working and poor people who struggle to get by. Youve got to remember that this community used to be a farming and  shing community of people who lived off the land and the water  a real working-class community.","Larry Cantwell, East Hamptons town supervisor and lifelong resident, says homes regularly change hands at more than $25m and the rapid price in ation at the top end has trickled down to even the towns most modest  ats."
,"Eddie Vallone, 22, says, People see the Hamptons as some sort of rich town but there are a lot of problems here, especially drugs. Its hard to grasp  OK, the summer is ending. What am I going to do for the winter? Vallone says. I want to work but theres no work to do.","Finding your  rst home is a challenge in an area like this, Cantwell says. Not just people who you would characterize as poor  working- and middle-class families are also having a hard time. If you can  nd a home to buy anywhere in East Hampton for $500,000, youre very lucky."
," Vallone, who works cleaning pools and doing odd jobs on luxury estates, says that, if he saves well, his summer earnings can last until November. But, work doesnt start again until May or the beginning of June.","Cantwell says more than half the towns homes are empty for most of the year, which causes the population to dwindle to as little as 10,000 in the winter months compared with 80,000 in August."
,,"Its kind of the tale of two cities. Theres certainly a lot of wealth here but almost all of that wealth is in second homes only used in the summer, says Cantwell, the son of a  sherman father and a house-cleaner mother. But, the rest of us live here year round."
,,"There are famous and very wealthy people but then you have hard-working and poor people struggling to get by. Youve got to remember that this community was founded as a farming and  shing community of people who lived off the land and the water  a realworking-class community."
,,"Cantwell says saving up enough money to buy your  rst house while working as a farmer or  sherman is near-impossible in East Hampton today and its not just the poor  police of cers, teachers, young professionals and others all struggle to  nd a place to live here and many of them cannot afford to own their own home."
,,Being homeless in the Hamptons means spending a lot of time on a bus. Various houses of worship have joined together to ensure there is somewhere for the homeless to spend the night over the winter. Churches up and down the north and south fork of Long Island take on the burden one night at a time and roughly 50 homeless people are bussed between them every day.
,,"Eddie Vallone, 22, is one of those on the bus every night. People look at the Hamptons as some sort of rich town and theres no problems going on. But there are a lot of problems here, especially drugs."
,,"""Its hard to really grasp  OK, the summer is coming to an end. What am I going to do for the winter? Vallone says at Maureens Haven, a charity that coordinates the homeless shelter programme. I want to work but theres no work to be done."
,,"Vallone, who works cleaning pools and doing odd jobs on luxury estates, says that, if he saves well and doesnt impulse-buy, he can make his summer earnings stretch out until November. But, work doesnt start again until May or the beginning of June."
