id,text,target
3353,"Johansson does not feel  attered by the best- selling book. Her lawyer, Vincent Toledano, told Le Figaro that Delacourts novel illegally usedMs Johanssons name, her reputation and her image. He said the novel contains defamatory claims about her private life. He has now gone to court to try to stop the book being translated or adapted for cinema.",0.5
5736,"Inky was brought to the National Aquarium several years ago by a local fisherman who found him in a fishing pot. Yarrell said, He lived on the reef and fought with fish so he was quite ill. According to Yarrell, Inky  who is about the size of a rugby ball  was an unusually intelligent octopus. He was very friendly and a popular attraction here. We have another octopus, Blotchy, but he is smaller than Inky and Inky had the personality.",0.1
5671,"Pepper spray After police sprayed peaceful protesters with pepper spray at a University of California campus in 2011, one of the scientists who helped develop it in the 80s denounced its use. I have never seen such an inappropriate and improper use of chemical agents, Kamran Loghman told The New York Times.",0.8
1402,"A degree in Spanish got me my fi rst job as a journalist, with an international press agency in Mexico City, but it didnt prevent me blundering badly as a rookie reporter.",0.8
6271,"Moroccos environment minister, Hakima el-Haite, believes that solar energy could have the same effects on the region this century that oil production had in the last century. But the $9bn project was triggered by more immediate concerns, she said.",0.5
5615,"The 29-year-old electrical engineer is one of dozens, perhaps hundreds, of refugees living in the jungle camp outside Calais who have applied for asylum in France and really want to learn the language of what they hope will be their new home.",0.5
5103,"Barack Obama led tributes from world leaders, referring to Mandela by his clan name  Madiba. The US president said: Through his fierce dignity and strong will to sacrifice his own freedom for the freedom of others, Madiba transformed South Africa  and moved all of us.",0.5
4710,"The research involved 8,550 boys and girls aged between ten and 16 from 26 state schools in Essex. All were tested between 2007 and 2010 on three different measures of  tness: stamina, handgrip strength and lower-body power. The results revealed that a childs month of birth could make signi cant differences to their levels of cardiovascular  tness, muscle strength and ability to accelerate, all of which predict how good someone is at sport.",0.5
3566,"Several senior tech executives insisted that they had no knowledge of PRISM or of any similar scheme. They said they would never have been involved in such a program. If they are doing this, they are doing it without our knowledge, one said. An Apple spokesman said he had never heard of PRISM.",0.8
518,"But, perhaps it’s also because we often hear numbers in a non-native language out of context. You may stop listening to the foreign language and suddenly be unable to understand. I talked to multilingual friends and they said that they are fl uent in French or Italian when ordering from a restaurant menu, for example, but freeze if they have to say numbers, especially over the phone. Numbers seem to be diffi cult, but no one could say why.",0.1
5692,"The Mua Voyage had been a massive logistical undertaking, said Tua. Years of preparation and navigational planning went into such a trip and it was critical to the voyagers that the world listened to their message and acted. He said that the leaders of wealthy countries need to start to think more like traditional navigators who recognize that their boats are just specks in an enormous sea. Most importantly, and spoken like a true navigator, Tua says politicians must seek a different route. The world needs to  nd a different path.",0.5
3118,"Messaging is moving from verbal to visual. Photos uploaded to Instagram get instant comments and Snapchats pictures, which selfdelete after ten seconds, have opened a world of other possibilities. Like BBM, all of these services are free for any phone with an internet connection. But as recently as 2011, BBM was so powerful it helped to start a revolution in Egypt; and at the time of the London riots, it was a more immediate source of news than the television screen.",0.5
620,"A degree in Spanish got me my fi rst job as a journalist, with an international press agency in Mexico City, but it didn’t stop me from making mistakes as a young reporter.",0.5
9297,"The panels report sustained the allegation made in parliament that the orchestrated changing of junior officers statements by senior South Yorkshire police officers amounted to a black propaganda unit. The officers statements, presented as official police accounts to the subsequent inquiry, were changed to delete criticism of the police themselves on the day, and, largely, emphasize misbehaviour by supporters. The panel found that 116 of 164 statements were amended to remove or alter comments unfavourable to South Yorkshire police.",0.8
5355,"The idea of a fully automated transportation system is intriguing because it could improve safety by removing human error. It could also help reduce carbon emissions and traf c congestion, and allow more people access to cars. But, even if driverless technology were ready to use now, it would take a long time to get fully automated because the average age of cars on the road is 11.5 years old.",0.5
3630,"Duran is now widening his focus to include Spains justice system, by promoting restorative justice. The people in Spain who believe that banks dont work, they think that I dont owe anything. Ive already done my work, he said. But there is a part of a population that is not in agreement with us and I think I should respond to that.",0.5
1747,"The project has now grown into the Grow2Feed Liberia Fish Farm, with 12 tanks, which, when full, will each have 5,000 fish  providing up to 200,000 fish per year, serving a community of 1,200 mainly HIV-positive people, including King and his family.",0.5
8925,"Some ships are quieter than others but the average noise next to all the ships was 173 underwater decibels, the same as 111 decibels through the air  about the sound of a loud rock concert. Whales are not usually right next to ships and so would hear noise of about 60 to 90 decibels  around the level of a vacuum cleaner.",0.1
95,"But, perhaps its also because we often hear numbers in a non-native language out of context. You may stop listening to the foreign language and suddenly be unable to understand. I talked to multilingual friends and they said that they are fl uent in French or Italian when ordering from a restaurant menu, for example, but freeze if they have to say numbers, especially over the phone. Numbers seem to be diffi cult, but no one could say why.",0.1
3629,"In todays Spain, the anti-capitalist movement, and groups such as the Indignados, are supported by thousands of Spaniards.",0.5
8166,The scientists have shown that rats can share information and respond to that information. The scientists do this by electrically connecting the rats brains.,0.1
1753,"Some critics are sceptical of farmed fish, saying fish can be inbred and have high levels of toxins. But Sheehy said good practice can reduce these problems. A lot of farmed fish is inbred, which does cause problems, but we are using a process with local fish from Liberia, not fish from another region, said Sheehy. And we are not using lakes that are cornered off, where the fish absorb all the toxins in the lake. We can control the environment using the tanks and we test the water and monitor it constantly.",0.5
2307,"It is incredibly unfair that our tips are shared out, especially when one member of the team doesnt work hard enough. Or, when a member of theteam does incredibly well, they dont get what theyve earned. Its really unfair that tips go towards breakages made by customers. The managers should have ways to pay for broken glasses and plates without taking our tips. I make around 20 a shift in tips but often I only get 10-15 of that money.",0.5
3730,"Left without a refrigerator (none are made in France), he was forced to chill his food on the window ledge.",0.5
592,Intermediate ,0.5
1115,"A degree in Spanish got me my fi rst job as a journalist, with an international press agency in Mexico City, but it didnt stop me from making mistakes as a young reporter.",0.5
9380,"This will be the last jump, Baumgartner said. He has promised to settle down and enjoy his post-jump years with his girlfriend, Nicole Oetl, flying helicopters on rescue missions in the US and Austria.",0.8
647,"A degree in Spanish got me my fi rst job as a journalist, with an international press agency in Mexico City, but it didnt stop me from making mistakes as a young reporter.",0.5
6031,"By the end of the decade, the government hopes that the law will push Japanese employees towards following the example set by British workers, who use an average of 20 days paid annual leave, and those in France, who take an average of 25.",0.5
