id,word,score
0,a,1
1,about,1
2,above,1
3,across,1
4,action,1
5,activity,1
6,actor,1
7,actress,1
8,add,1
9,address,1
10,adult,1
11,advice,1
12,afraid,1
13,after,1
14,afternoon,1
15,again,1
16,age,1
17,ago,1
18,agree,1
19,air,1
20,airport,1
21,all,1
22,also,1
23,always,1
24,amazing,1
25,and,1
26,angry,1
27,animal,1
28,another,1
29,answer,1
30,any,1
31,anyone,1
32,anything,1
33,apartment,1
34,apple,1
35,april,1
36,area,1
37,arm,1
38,around,1
39,arrive,1
40,art,1
41,article,1
42,artist,1
43,as,1
44,ask,1
45,at,1
46,august,1
47,aunt,1
48,autumn,1
49,away,1
50,baby,1
51,back,1
52,bad,1
53,bag,1
54,ball,1
55,banana,1
56,band,1
57,bank,1
58,bath,1
59,bathroom,1
60,be,1
61,beach,1
62,beautiful,1
63,because,1
64,become,1
65,bed,1
66,bedroom,1
67,beer,1
68,before,1
69,begin,1
70,beginning,1
71,behind,1
72,believe,1
73,below,1
74,best,1
75,better,1
76,between,1
77,bicycle,1
78,big,1
79,bike,1
80,bill,1
81,bird,1
82,birthday,1
83,black,1
84,blog,1
85,blonde,1
86,blue,1
87,boat,1
88,body,1
89,book,1
90,boot,1
91,bored,1
92,boring,1
93,born,1
94,both,1
95,bottle,1
96,box,1
97,boy,1
98,boyfriend,1
99,bread,1
100,break,1
101,breakfast,1
102,bring,1
103,brother,1
104,brown,1
105,build,1
106,building,1
107,bus,1
108,business,1
109,busy,1
110,but,1
111,butter,1
112,buy,1
113,by,1
114,bye,1
115,cafe,1
116,cake,1
117,call,1
118,camera,1
119,can1,1
120,cannot,1
121,capital,1
122,car,1
123,card,1
124,career,1
125,carrot,1
126,carry,1
127,cat,1
128,cd,1
129,cent,1
130,centre,1
131,century,1
132,chair,1
133,change,1
134,chart,1
135,cheap,1
136,check,1
137,cheese,1
138,chicken,1
139,child,1
140,chocolate,1
141,choose,1
142,cinema,1
143,city,1
144,class,1
145,classroom,1
146,clean,1
147,climb,1
148,clock,1
149,close1,1
150,clothes,1
151,club,1
152,coat,1
153,coffee,1
154,cold,1
155,college,1
156,colour,1
157,come,1
158,common,1
159,company,1
160,compare,1
161,complete,1
162,computer,1
163,concert,1
164,conversation,1
165,cook,1
166,cooking,1
167,cool,1
168,correct,1
169,cost,1
170,could,1
171,country,1
172,course,1
173,cousin,1
174,cow,1
175,cream,1
176,create,1
177,culture,1
178,cup,1
179,customer,1
180,cut,1
181,dad,1
182,dance,1
183,dancer,1
184,dancing,1
185,dangerous,1
186,dark,1
187,date,1
188,daughter,1
189,day,1
190,dear,1
191,december,1
192,decide,1
193,delicious,1
194,describe,1
195,description,1
196,design,1
197,desk,1
198,detail,1
199,dialogue,1
200,dictionary,1
201,die,1
202,diet,1
203,difference,1
204,different,1
205,difficult,1
206,dinner,1
207,dirty,1
208,discuss,1
209,dish,1
210,do1,1
211,doctor,1
212,dog,1
213,dollar,1
214,door,1
215,down,1
216,downstairs,1
217,draw,1
218,dress,1
219,drink,1
220,drive,1
221,driver,1
222,during,1
223,dvd,1
224,each,1
225,ear,1
226,early,1
227,east,1
228,easy,1
229,eat,1
230,egg,1
231,eight,1
232,eighteen,1
233,eighty,1
234,elephant,1
235,eleven,1
236,else,1
237,email,1
238,end,1
239,enjoy,1
240,enough,1
241,euro,1
242,even,1
243,evening,1
244,event,1
245,ever,1
246,every,1
247,everybody,1
248,everyone,1
249,everything,1
250,exam,1
251,example,1
252,excited,1
253,exciting,1
254,exercise,1
255,expensive,1
256,explain,1
257,extra,1
258,eye,1
259,face,1
260,fact,1
261,fall,1
262,false,1
263,family,1
264,famous,1
265,fantastic,1
266,far,1
267,farm,1
268,farmer,1
269,fast,1
270,fat,1
271,father,1
272,favourite,1
273,february,1
274,feel,1
275,feeling,1
276,festival,1
277,few,1
278,fifteen,1
279,fifth,1
280,fifty,1
281,fill,1
282,film,1
283,final,1
284,find,1
285,fine,1
286,finish,1
287,fire,1
288,first,1
289,fish,1
290,five,1
291,flat,1
292,flight,1
293,floor,1
294,flower,1
295,fly,1
296,follow,1
297,food,1
298,foot,1
299,football,1
300,for,1
301,forget,1
302,form,1
303,forty,1
304,four,1
305,fourteen,1
306,fourth,1
307,free,1
308,friday,1
309,friend,1
310,friendly,1
311,from,1
312,front,1
313,fruit,1
314,full,1
315,fun,1
316,funny,1
317,future,1
318,game,1
319,garden,1
320,geography,1
321,get,1
322,girl,1
323,girlfriend,1
324,give,1
325,glass,1
326,go,1
327,good,1
328,goodbye,1
329,grandfather,1
330,grandmother,1
331,grandparent,1
332,great,1
333,green,1
334,grey,1
335,group,1
336,grow,1
337,guess,1
338,guitar,1
339,gym,1
340,hair,1
341,half,1
342,hand,1
343,happen,1
344,happy,1
345,hard,1
346,hat,1
347,hate,1
348,have,1
349,have,1
350,he,1
351,head,1
352,health,1
353,healthy,1
354,hear,1
355,hello,1
356,help,1
357,her,1
358,here,1
359,hey,1
360,hi,1
361,high,1
362,him,1
363,his,1
364,history,1
365,hobby,1
366,holiday,1
367,home,1
368,homework,1
369,hope,1
370,horse,1
371,hospital,1
372,hot,1
373,hotel,1
374,hour,1
375,house,1
376,how,1
377,however,1
378,hundred,1
379,hungry,1
380,husband,1
381,i,1
382,ice,1
383,ice,1
384,idea,1
385,if,1
386,imagine,1
387,important,1
388,improve,1
389,in,1
390,include,1
391,information,1
392,interest,1
393,interested,1
394,interesting,1
395,internet,1
396,interview,1
397,into,1
398,introduce,1
399,island,1
400,it,1
401,its,1
402,jacket,1
403,january,1
404,jeans,1
405,job,1
406,join,1
407,journey,1
408,juice,1
409,july,1
410,june,1
411,just,1
412,keep,1
413,key,1
414,kilometre,1
415,kind,1
416,kitchen,1
417,know,1
418,land,1
419,language,1
420,large,1
421,last1,1
422,late,1
423,later,1
424,laugh,1
425,learn,1
426,leave,1
427,left,1
428,leg,1
429,lesson,1
430,let,1
431,letter,1
432,library,1
433,lie1,1
434,life,1
435,light,1
436,adj.,1
437,like,1
438,like,1
439,line,1
440,lion,1
441,list,1
442,listen,1
443,little,1
444,live1,1
445,local,1
446,long1,1
447,look,1
448,lose,1
449,lot,1
450,love,1
451,lunch,1
452,machine,1
453,magazine,1
454,main,1
455,make,1
456,man,1
457,many,1
458,map,1
459,march,1
460,market,1
461,married,1
462,match,1
463,may,1
464,maybe,1
465,me,1
466,meal,1
467,mean,1
468,meaning,1
469,meat,1
470,meet,1
471,meeting,1
472,member,1
473,menu,1
474,message,1
475,metre,1
476,midnight,1
477,mile,1
478,milk,1
479,million,1
480,minute1,1
481,miss,1
482,mistake,1
483,model,1
484,modern,1
485,moment,1
486,monday,1
487,money,1
488,month,1
489,more,1
490,morning,1
491,most,1
492,mother,1
493,mountain,1
494,mouse,1
495,mouth,1
496,move,1
497,movie,1
498,much,1
499,mum,1
500,museum,1
501,music,1
502,must,1
503,my,1
504,name,1
505,natural,1
506,near,1
507,need,1
508,negative,1
509,neighbour,1
510,never,1
511,new,1
512,news,1
513,newspaper,1
514,next,1
515,next,1
516,nice,1
517,night,1
518,nine,1
519,nineteen,1
520,ninety,1
521,no,1
522,no,1
523,nobody,1
524,north,1
525,nose,1
526,not,1
527,note,1
528,nothing,1
529,november,1
530,now,1
531,number,1
532,nurse,1
533,object,1
534,o’clock,1
535,october,1
536,of,1
537,off,1
538,office,1
539,often,1
540,oh,1
541,ok,1
542,old,1
543,on,1
544,once,1
545,one,1
546,onion,1
547,online,1
548,only,1
549,open,1
550,opinion,1
551,opposite,1
552,or,1
553,orange,1
554,order,1
555,other,1
556,our,1
557,out,1
558,outside,1
559,over,1
560,own,1
561,page,1
562,paint,1
563,painting,1
564,pair,1
565,paper,1
566,paragraph,1
567,parent,1
568,park,1
569,part,1
570,partner,1
571,party,1
572,passport,1
573,past,1
574,pay,1
575,pen,1
576,pencil,1
577,people,1
578,pepper,1
579,perfect,1
580,period,1
581,person,1
582,personal,1
583,phone,1
584,photo,1
585,photograph,1
586,phrase,1
587,piano,1
588,picture,1
589,piece,1
590,pig,1
591,pink,1
592,place,1
593,plan,1
594,plane,1
595,plant,1
596,play,1
597,player,1
598,please,1
599,point,1
600,police,1
601,policeman,1
602,pool,1
603,poor,1
604,popular,1
605,positive,1
606,possible,1
607,post,1
608,potato,1
609,pound,1
610,practice,1
611,practise,1
612,prefer,1
613,prepare,1
614,present,1
615,pretty,1
616,price,1
617,probably,1
618,problem,1
619,product,1
620,programme,1
621,project,1
622,purple,1
623,put,1
624,quarter,1
625,question,1
626,quick,1
627,quickly,1
628,quiet,1
629,quite,1
630,radio,1
631,rain,1
632,read,1
633,reader,1
634,reading,1
635,ready,1
636,real,1
637,really,1
638,reason,1
639,red,1
640,relax,1
641,remember,1
642,repeat,1
643,report,1
644,restaurant,1
645,result,1
646,return,1
647,rice,1
648,rich,1
649,ride,1
650,right,1
651,river,1
652,road,1
653,room,1
654,routine,1
655,rule,1
656,run,1
657,sad,1
658,salad,1
659,salt,1
660,same,1
661,sandwich,1
662,saturday,1
663,say,1
664,school,1
665,science,1
666,scientist,1
667,sea,1
668,second1,1
669,number,1
670,second1,1
671,section,1
672,see,1
673,sell,1
674,send,1
675,sentence,1
676,september,1
677,seven,1
678,seventeen,1
679,seventy,1
680,share,1
681,she,1
682,sheep,1
683,shirt,1
684,shoe,1
685,shop,1
686,shopping,1
687,short,1
688,should,1
689,show,1
690,shower,1
691,sick,1
692,similar,1
693,sing,1
694,singer,1
695,sister,1
696,sit,1
697,situation,1
698,six,1
699,sixteen,1
700,sixty,1
701,skill,1
702,skirt,1
703,sleep,1
704,slow,1
705,small,1
706,snake,1
707,snow,1
708,so,1
709,some,1
710,somebody,1
711,someone,1
712,something,1
713,sometimes,1
714,son,1
715,song,1
716,soon,1
717,sorry,1
718,sound,1
719,soup,1
720,south,1
721,space,1
722,speak,1
723,special,1
724,spell,1
725,spelling,1
726,spend,1
727,sport,1
728,spring,1
729,stand,1
730,star,1
731,start,1
732,statement,1
733,station,1
734,stay,1
735,still,1
736,stop,1
737,story,1
738,street,1
739,strong,1
740,student,1
741,study,1
742,style,1
743,subject,1
744,success,1
745,sugar,1
746,summer,1
747,sun,1
748,sunday,1
749,supermarket,1
750,sure,1
751,sweater,1
752,swim,1
753,swimming,1
754,table,1
755,take,1
756,talk,1
757,tall,1
758,taxi,1
759,tea,1
760,teach,1
761,teacher,1
762,team,1
763,teenager,1
764,telephone,1
765,television,1
766,tell,1
767,ten,1
768,tennis,1
769,terrible,1
770,test,1
771,text,1
772,than,1
773,thank,1
774,thanks,1
775,that,1
776,the,1
777,theatre,1
778,their,1
779,them,1
780,then,1
781,there,1
782,they,1
783,thing,1
784,think,1
785,third,1
786,thirsty,1
787,thirteen,1
788,thirty,1
789,this,1
790,thousand,1
791,three,1
792,through,1
793,thursday,1
794,ticket,1
795,time,1
796,tired,1
797,title,1
798,to,1
799,today,1
800,together,1
801,toilet,1
802,tomato,1
803,tomorrow,1
804,tonight,1
805,too,1
806,tooth,1
807,topic,1
808,tourist,1
809,town,1
810,traffic,1
811,train,1
812,travel,1
813,tree,1
814,trip,1
815,trousers,1
816,true,1
817,try,1
818,t-shirt,1
819,tuesday,1
820,turn,1
821,tv,1
822,twelve,1
823,twenty,1
824,twice,1
825,two,1
826,type,1
827,umbrella,1
828,uncle,1
829,under,1
830,understand,1
831,university,1
832,until,1
833,up,1
834,upstairs,1
835,us,1
836,use,1
837,useful,1
838,usually,1
839,vacation,1
840,vegetable,1
841,very,1
842,video,1
843,village,1
844,visit,1
845,visitor,1
846,wait,1
847,waiter,1
848,wake,1
849,walk,1
850,wall,1
851,want,1
852,warm,1
853,wash,1
854,watch,1
855,water,1
856,way,1
857,we,1
858,wear,1
859,weather,1
860,website,1
861,wednesday,1
862,week,1
863,weekend,1
