id,target,flesch_reading,dale_chall,coleman_liau,mcalpine_eflaw,wrd_cnt,sen_cnt,syl_cnt,polysyl_cnt,avg_wrd_per_sen,avg_syl_per_wrd,ttr,rttr,cttr,mtld75
0,0.1,79.8,9.55,5.62,25.8,84.0,5.0,110.0,4.0,16.8,1.3095238095238095,0.6351351351351351,5.463639020959506,3.863376201675897,27.26315789473684
1,0.5,-217.19,19.48,24.2,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,0.7071067811865475,1.0
2,0.8,36.62,19.48,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.7071067811865475,1.0
3,0.1,74.9,9.82,7.64,18.7,40.0,3.0,57.0,5.0,13.333333333333334,1.425,0.7948717948717948,4.963972767957701,3.5100588058482463,43.26562499999999
4,0.8,83.66,10.35,6.83,18.0,13.0,1.0,17.0,0.0,13.0,1.3076923076923077,1.0,3.6055512754639896,2.5495097567963927,13.0
5,0.1,70.63,9.24,10.32,22.5,70.0,4.0,99.0,3.0,17.5,1.4142857142857144,0.7101449275362319,5.898906801202691,4.171157000717868,56.120000000000005
6,0.5,52.46,9.62,11.46,14.2,52.0,5.0,86.0,9.0,10.4,1.6538461538461535,0.8627450980392157,6.161232369723243,4.356649189097367,92.89285714285715
7,0.8,40.52,10.97,14.52,41.5,122.0,4.0,197.0,18.0,30.5,1.6147540983606556,0.6885245901639344,7.605002667571556,5.377548957181631,75.3510693792384
8,0.1,68.6,11.49,10.1,25.0,39.0,2.0,53.0,3.0,19.5,1.358974358974359,0.8648648648648649,5.260767593771433,3.719924439802217,68.45000000000003
9,0.8,63.02,9.3,7.61,36.0,50.0,2.0,69.0,5.0,25.0,1.38,0.8367346938775511,5.857142857142857,4.141625432664064,75.03125000000001
10,0.5,40.35,10.83,10.8,54.0,39.0,1.0,60.0,5.0,39.0,1.5384615384615383,0.7894736842105263,4.8666426339228765,3.4412360080584263,34.52546296296296
11,0.1,63.19,9.24,9.86,23.0,33.0,2.0,51.0,4.0,16.5,1.5454545454545454,0.7575757575757576,4.351941398892446,3.077287274483318,33.0
12,0.5,45.77,12.49,10.81,54.0,42.0,1.0,58.0,5.0,42.0,1.380952380952381,0.9210526315789472,5.677749739576689,4.014775342734831,120.3333333333333
13,0.5,52.46,9.62,11.46,14.2,52.0,5.0,86.0,9.0,10.4,1.6538461538461535,0.8627450980392157,6.161232369723243,4.356649189097367,92.89285714285715
14,0.8,77.98,8.12,7.08,26.0,93.0,5.0,119.0,4.0,18.6,1.2795698924731185,0.7741935483870968,7.466052202059062,5.279296140768719,97.98214285714286
15,0.8,44.08,10.77,8.84,72.0,52.0,1.0,69.0,2.0,52.0,1.3269230769230769,0.8653846153846154,6.240377207533828,4.412613040609141,96.5714285714286
16,0.8,61.87,10.52,11.89,24.3,71.0,4.0,109.0,8.0,17.75,1.5352112676056338,0.8169014084507042,6.883333617524349,4.867251878120797,96.94230769230772
17,0.8,66.57,10.21,9.17,29.5,43.0,2.0,59.0,3.0,21.5,1.372093023255814,0.813953488372093,5.337449961641164,3.774147062120345,57.78125
18,0.5,88.77,8.63,4.35,24.7,49.0,3.0,59.0,2.0,16.333333333333332,1.2040816326530612,0.7142857142857143,5.0,3.5355339059327378,49.0
19,0.8,56.63,9.05,8.43,44.3,94.0,3.0,127.0,10.0,31.33333333333333,1.351063829787234,0.7021276595744681,6.807380225308036,4.813544719430521,69.34025974025974
20,0.8,64.71,10.17,9.79,21.0,30.0,2.0,46.0,5.0,15.0,1.5333333333333334,0.9333333333333332,5.11207720338155,3.614784456460256,112.50000000000004
21,0.1,83.15,6.65,8.58,18.5,27.0,2.0,36.0,3.0,13.5,1.3333333333333333,0.8888888888888888,4.618802153517006,3.265986323710904,60.74999999999997
22,0.8,82.14,9.07,7.3,21.3,87.0,6.0,116.0,7.0,14.5,1.3333333333333333,0.7093023255813954,6.577799165409743,4.651206395144443,59.26686217008797
23,0.1,73.17,10.17,7.24,22.5,30.0,2.0,41.0,3.0,15.0,1.3666666666666667,0.8571428571428571,4.535573676110727,3.2071349029490928,48.99999999999999
24,0.1,59.64,10.16,10.1,28.0,40.0,2.0,59.0,2.0,20.0,1.475,0.825,5.217758139277826,3.689512162874653,41.42857142857142
25,0.5,78.45,7.33,6.3,13.0,59.0,6.0,80.0,2.0,9.833333333333334,1.3559322033898304,0.7241379310344828,5.514870180108347,3.899602101718089,54.25806451612903
26,0.5,86.81,6.61,4.21,14.7,89.0,9.0,118.0,6.0,9.88888888888889,1.3258426966292134,0.5842696629213483,5.511988976033073,3.89756478277848,27.97142857142857
27,0.5,-217.19,19.48,24.2,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,0.7071067811865475,1.0
28,0.8,46.95,10.84,12.95,42.0,65.0,2.0,98.0,6.0,32.5,1.5076923076923077,0.8461538461538461,6.821910402406465,4.823819106188661,105.625
29,0.1,46.78,16.27,16.88,18.0,16.0,1.0,27.0,1.0,16.0,1.6875,1.0,4.0,2.82842712474619,16.0
30,0.1,68.3,8.82,8.7,28.5,79.0,4.0,112.0,8.0,19.75,1.4177215189873418,0.7848101265822784,6.975544985741348,4.932455161889526,91.77941176470588
31,0.8,59.13,10.24,10.97,29.3,82.0,4.0,124.0,11.0,20.5,1.5121951219512195,0.7375,6.596400533624379,4.664359548748359,46.14379084967321
32,0.1,86.54,7.11,7.02,26.0,37.0,2.0,45.0,1.0,18.5,1.2162162162162162,0.8108108108108109,4.931969619160719,3.4874291623145783,48.89285714285715
33,0.1,68.44,9.54,8.48,39.0,28.0,1.0,36.0,2.0,28.0,1.2857142857142858,0.9285714285714286,4.913538149119954,3.474396144861517,98.00000000000004
34,0.5,67.59,9.27,8.18,30.0,41.0,2.0,56.0,4.0,20.5,1.3658536585365857,0.902439024390244,5.778429189878424,4.085966464769322,105.06250000000004
35,0.5,63.53,9.69,9.17,34.5,49.0,2.0,69.0,6.0,24.5,1.4081632653061225,0.8979591836734694,6.285714285714286,4.444671196029727,120.05
36,0.8,57.1,11.42,13.41,30.0,45.0,2.0,69.0,5.0,22.5,1.5333333333333334,0.9318181818181818,6.180982563844155,4.370614685290014,161.3333333333332
37,0.5,78.93,9.78,5.35,40.5,52.0,2.0,64.0,1.0,26.0,1.2307692307692308,0.9019607843137256,6.441288386528845,4.554678697692702,130.05
38,0.5,53.55,11.61,12.02,35.0,26.0,1.0,39.0,2.0,26.0,1.5,0.8846153846153846,4.510671108178233,3.189526128295068,56.333333333333314
39,0.5,39.67,11.64,15.55,26.0,23.0,1.0,40.0,5.0,23.0,1.7391304347826086,0.9130434782608696,4.37880269519857,3.09628107925284,66.12499999999996
40,0.5,43.06,10.66,13.06,37.5,56.0,2.0,91.0,9.0,28.0,1.625,0.8545454545454545,6.337478707154475,4.481274169454284,94.53124999999996
